strike,option_type,bid,ask
5675.0,P,674.1,687.75
5700.0,P,696.0500000000001,710.1500000000001
5725.0,P,720.6,735.2
5750.0,P,744.95,760.0500000000001
5775.0,P,767.75,783.3000000000001
5800.0,P,792.0,808.0500000000001
5825.0,P,814.8000000000001,831.3000000000001
5850.0,P,836.35,853.3000000000001
5875.0,P,861.85,879.3000000000001
5900.0,P,888.4000000000001,906.4000000000001
5925.0,P,911.3000000000001,929.75
5950.0,P,934.7,953.6500000000001
5975.0,P,960.0500000000001,979.5
6000.0,P,981.25,1001.1
